Breakdown voltage for 5x5 my analysis - 3.40462 kV
Breakdown voltage for 1.6V my analysis - 3.9003 kV
Breakdown voltage for 1.7V my analysis - 3.93632 kV

Breakdown voltage for 5x5 his analysis - 
Breakdown voltage for 1.6V his analysis - 
Breakdown voltage for 1.7V his analysis - 

RRA	    MRA	    MMA	    RMA	    MMA-MRA
3.09604	3.09604	3.22636	3.22636	0.13032
3.1147	3.1147	3.22575	3.22575	0.11105
3.24847	3.24847	3.48871	3.48871	0.24024
3.15177	3.15177	3.32755	3.32755	0.17578
3.18226	3.18226	3.38585	3.38585	0.20359
3.2358	3.2358	3.48226	3.48226	0.24646
3.17056	3.17056	3.39045	3.39045	0.21989
3.34123	3.34123	3.44327	3.44327	0.10204
3.2124	3.2124	3.45975	3.45974	0.24735
3.21205	3.21205	3.44165	3.44165	0.2296
3.20319	3.20319	3.42202	3.42202	0.21883
3.12916	3.12916	3.2905	3.2905	0.16134
3.22678	3.22678	3.463	3.463	0.23622
3.15647	3.15647	3.30208	3.30208	0.14561
3.16184	3.16184	3.24568	3.24568	0.08384
3.23598	3.23598	3.48896	3.48896	0.25298
3.22836	3.22836	3.4768	3.4768	0.24844
3.22576	3.22576	3.46208	3.46208	0.23632
3.20185	3.20185	3.42889	3.42889	0.22704
3.19578	3.19578	3.44186	3.44186	0.24608
3.21055	3.21055	3.44633	3.44633	0.23578
3.14856	3.14856	3.37672	3.37672	0.22816
3.23917	3.23917	3.48912	3.48912	0.24995
3.22849	3.22849	3.43231	3.43231	0.20382
3.237	3.22801	3.4775	3.47716	0.24949

